Area,Element,Year,Unit,Value
Pakistan,Total Population - Both sexes,1950,1000 persons,37542.376
Pakistan,Total Population - Male,1950,1000 persons,20461.235
Pakistan,Total Population - Female,1950,1000 persons,17081.135
Pakistan,Rural population,1950,1000 persons,30964.622
Pakistan,Urban population,1950,1000 persons,6577.754
Pakistan,Total Population - Both sexes,1951,1000 persons,37992.886
Pakistan,Total Population - Male,1951,1000 persons,20667.31
Pakistan,Total Population - Female,1951,1000 persons,17325.574
Pakistan,Rural population,1951,1000 persons,31161.301
Pakistan,Urban population,1951,1000 persons,6813.98
Pakistan,Total Population - Both sexes,1952,1000 persons,38516.515
Pakistan,Total Population - Male,1952,1000 persons,20913.115
Pakistan,Total Population - Female,1952,1000 persons,17603.399
Pakistan,Rural population,1952,1000 persons,31412.851
Pakistan,Urban population,1952,1000 persons,7071.04
Pakistan,Total Population - Both sexes,1953,1000 persons,39109.093
Pakistan,Total Population - Male,1953,1000 persons,21196.358
Pakistan,Total Population - Female,1953,1000 persons,17912.732
Pakistan,Rural population,1953,1000 persons,31715.331
Pakistan,Urban population,1953,1000 persons,7348.543
Pakistan,Total Population - Both sexes,1954,1000 persons,39767.174
Pakistan,Total Population - Male,1954,1000 persons,21515.099
Pakistan,Total Population - Female,1954,1000 persons,18252.07
Pakistan,Rural population,1954,1000 persons,32064.065
Pakistan,Urban population,1954,1000 persons,7647.578
Pakistan,Total Population - Both sexes,1955,1000 persons,40488.03
Pakistan,Total Population - Male,1955,1000 persons,21867.756
Pakistan,Total Population - Female,1955,1000 persons,18620.276
Pakistan,Rural population,1955,1000 persons,32455.878
Pakistan,Urban population,1955,1000 persons,7968.418
Pakistan,Total Population - Both sexes,1956,1000 persons,41269.724
Pakistan,Total Population - Male,1956,1000 persons,22253.111
Pakistan,Total Population - Female,1956,1000 persons,19016.61
Pakistan,Rural population,1956,1000 persons,32887.737
Pakistan,Urban population,1956,1000 persons,8311.959
Pakistan,Total Population - Both sexes,1957,1000 persons,42111.01
Pakistan,Total Population - Male,1957,1000 persons,22670.309
Pakistan,Total Population - Female,1957,1000 persons,19440.702
Pakistan,Rural population,1957,1000 persons,33358.219
Pakistan,Urban population,1957,1000 persons,8678.174
Pakistan,Total Population - Both sexes,1958,1000 persons,43011.315
Pakistan,Total Population - Male,1958,1000 persons,23118.814
Pakistan,Total Population - Female,1958,1000 persons,19892.51
Pakistan,Rural population,1958,1000 persons,33864.835
Pakistan,Urban population,1958,1000 persons,9068.758
Pakistan,Total Population - Both sexes,1959,1000 persons,43970.556
Pakistan,Total Population - Male,1959,1000 persons,23598.33
Pakistan,Total Population - Female,1959,1000 persons,20372.23
Pakistan,Rural population,1959,1000 persons,34406.515
Pakistan,Urban population,1959,1000 persons,9484.467
Pakistan,Total Population - Both sexes,1960,1000 persons,44988.69
Pakistan,Total Population - Male,1960,1000 persons,24108.624
Pakistan,Total Population - Female,1960,1000 persons,20880.066
Pakistan,Rural population,1960,1000 persons,34981.635
Pakistan,Urban population,1960,1000 persons,9926.658
Pakistan,Total Population - Both sexes,1961,1000 persons,46065.231
Pakistan,Total Population - Male,1961,1000 persons,24649.289
Pakistan,Total Population - Female,1961,1000 persons,21415.94
Pakistan,Rural population,1961,1000 persons,35637.687
Pakistan,Urban population,1961,1000 persons,10347.205
Pakistan,Total Population - Both sexes,1962,1000 persons,47198.878
Pakistan,Total Population - Male,1962,1000 persons,25219.575
Pakistan,Total Population - Female,1962,1000 persons,21979.311
Pakistan,Rural population,1962,1000 persons,36399.297
Pakistan,Urban population,1962,1000 persons,10720.064
Pakistan,Total Population - Both sexes,1963,1000 persons,48387.301
Pakistan,Total Population - Male,1963,1000 persons,25818.3
Pakistan,Total Population - Female,1963,1000 persons,22568.993
Pakistan,Rural population,1963,1000 persons,37197.027
Pakistan,Urban population,1963,1000 persons,11112.288
Pakistan,Total Population - Both sexes,1964,1000 persons,49627.623
Pakistan,Total Population - Male,1964,1000 persons,26444.062
Pakistan,Total Population - Female,1964,1000 persons,23183.561
Pakistan,Rural population,1964,1000 persons,38028.03
Pakistan,Urban population,1964,1000 persons,11523.874
Pakistan,Total Population - Both sexes,1965,1000 persons,50917.975
Pakistan,Total Population - Male,1965,1000 persons,27095.945
Pakistan,Total Population - Female,1965,1000 persons,23822.03
Pakistan,Rural population,1965,1000 persons,38890.898
Pakistan,Urban population,1965,1000 persons,11954.323
Pakistan,Total Population - Both sexes,1966,1000 persons,52260.189
Pakistan,Total Population - Male,1966,1000 persons,27774.755
Pakistan,Total Population - Female,1966,1000 persons,24485.428
Pakistan,Rural population,1966,1000 persons,39786.042
